nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-1.249044180,-0.854381502,-1.320801377,-0.827640176,-1.340814114,-0.840356171,-1.308588505,-0.588501632,-1.357597113,-0.643262208,-0.840711057,-0.237164587,-1.063089967,-0.375650316,-0.139633879,0.027599670 ,-0.559093356,-0.504324734,-0.024947667,-0.709418356,-0.221455097,-0.824738145,0.087175757 ,0.046400677 ,-0.087175369,-0.046400677,0.285103947 ,-0.833148241,0.051568389 ,-0.903593838,0.419932306 ,0.099538751 ,0.371159464 ,0.073516808 
-1.339348316,-0.818869412,-1.441189408,-0.795554638,-1.446595192,-0.815549791,-1.415609598,-0.534925640,-1.459108472,-0.607948482,-0.845817447,-0.072561488,-1.112862229,-0.331881195,-0.067018241,0.160680383 ,-0.548583210,-0.393844992,0.029950375 ,-0.716573536,-0.202175513,-0.817977309,0.124063790 ,0.105860248 ,-0.124063790,-0.105860680,0.515230358 ,-0.844900489,0.161089331 ,-0.933100998,0.542546809 ,0.206769928 ,0.491352618 ,0.144257948 
-1.331683636,-0.686240613,-1.416310668,-0.631929517,-1.425960064,-0.688274562,-1.412395000,-0.346447587,-1.470043302,-0.489412844,-0.879343688,0.039796345 ,-1.111604333,-0.229860276,-0.103696644,0.209714144 ,-0.540805697,-0.313957870,0.059871078 ,-0.642488599,-0.231730372,-0.782227218,0.143588051 ,0.131834984 ,-0.143587619,-0.131834984,0.482677847 ,-0.791329086,0.099068716 ,-0.873557687,0.534499049 ,0.263031274 ,0.481516987 ,0.192284122 
-1.315570235,-0.636396170,-1.420623541,-0.585102797,-1.420982480,-0.647359431,-1.436977029,-0.319633454,-1.481531978,-0.451791584,-0.867456317,0.068638921 ,-1.127401829,-0.211954251,-0.088205688,0.249151066 ,-0.557206929,-0.330791980,0.075624973 ,-0.651903510,-0.197478160,-0.780775726,0.132865712 ,0.119437136 ,-0.132865265,-0.119437136,0.512939155 ,-0.811537087,0.154447019 ,-0.909403205,0.583716631 ,0.285339504 ,0.492123932 ,0.201887652 
-1.309853792,-0.603785336,-1.388985395,-0.556874931,-1.404399276,-0.598623991,-1.397545457,-0.294351280,-1.448867440,-0.396956801,-0.895067215,0.060189307 ,-1.100433826,-0.194269255,-0.082165070,0.189680889 ,-0.556483388,-0.345307946,0.091699585 ,-0.649248362,-0.201340303,-0.776628375,0.123656027 ,0.109765388 ,-0.123656027,-0.109765388,0.437710553 ,-0.787741542,0.119178981 ,-0.874949932,0.509227812 ,0.213811144 ,0.455737144 ,0.121951438 
-1.292830467,-0.516819179,-1.394220471,-0.482608497,-1.400040269,-0.515252769,-1.401536942,-0.232540727,-1.442334175,-0.338696659,-0.891879618,0.109234154 ,-1.107452631,-0.160926774,-0.117655709,0.188876420 ,-0.565317094,-0.324513108,0.035538394 ,-0.623663962,-0.200700954,-0.728625834,0.104727730 ,0.105281711 ,-0.104727320,-0.105281293,0.414017439 ,-0.728274047,0.108006060 ,-0.843911469,0.525801659 ,0.214672089 ,0.466146350 ,0.134646431 
-1.292834997,-0.464522183,-1.379718900,-0.421264052,-1.386698723,-0.460839272,-1.373584986,-0.166226313,-1.414797544,-0.276961178,-0.908406079,0.160500199 ,-1.091590524,-0.156629249,-0.135471046,0.190513313 ,-0.587819517,-0.305735260,-0.011913740,-0.574966073,-0.221746773,-0.688164294,0.091120973 ,0.109277591 ,-0.091120578,-0.109277986,0.404157668 ,-0.672357738,0.098396577 ,-0.794981301,0.485621959 ,0.223519266 ,0.434672832 ,0.135377228 
-1.298107982,-0.464925975,-1.385441422,-0.410905540,-1.406183958,-0.468548059,-1.383013725,-0.129618362,-1.445268750,-0.289344877,-0.895598173,0.217752039 ,-1.103958488,-0.175644904,-0.154365569,0.170409039 ,-0.585473895,-0.314931750,0.025227441 ,-0.616005301,-0.179010823,-0.748822510,0.092050090 ,0.134135813 ,-0.092049658,-0.134136230,0.502923906 ,-0.739342093,0.179000959 ,-0.881233156,0.592464447 ,0.229179963 ,0.544114709 ,0.123745039 
-1.305965066,-0.427838147,-1.402333021,-0.366329491,-1.408063531,-0.436349690,-1.415112138,-0.077950701,-1.447784662,-0.271001160,-0.896474540,0.264381438 ,-1.099887490,-0.143803462,-0.141390741,0.203115597 ,-0.581625938,-0.316332966,-0.029869232,-0.676641822,-0.167830005,-0.765156209,0.091824003 ,0.134768039 ,-0.091823578,-0.134768471,0.519114614 ,-0.734265864,0.165258288 ,-0.871652484,0.555368483 ,0.248792946 ,0.519737363 ,0.128326684 
-1.309368491,-0.423479676,-1.389264464,-0.358504236,-1.408970952,-0.426836610,-1.406867623,-0.065516122,-1.443186879,-0.236278757,-0.882670641,0.259709626 ,-1.109779000,-0.086085491,-0.150073066,0.143263146 ,-0.580326915,-0.341509789,-0.026113564,-0.704955459,-0.183605313,-0.803382158,0.097733073 ,0.117637262 ,-0.097732641,-0.117637694,0.504904151 ,-0.767729878,0.152278423 ,-0.902720928,0.534208775 ,0.223367169 ,0.499075621 ,0.113235600 
