nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
0.664591074 ,-1.180416822,0.647530258 ,-1.209649920,0.623965263 ,-1.222070813,0.508642137 ,-1.145006895,0.494227916 ,-1.207493901,0.412769020 ,-0.872754931,0.288918793 ,-1.000113249,0.905671537 ,-0.522432745,0.619058430 ,-0.756364167,1.003677845 ,-1.037334919,0.861958385 ,-1.070188522,0.023673903 ,0.061937515 ,-0.023673626,-0.061937235,0.853381217 ,-0.263234496,0.675405979 ,-0.443542093,0.519771814 ,0.334347844 ,0.392599165 ,0.047256161 
0.707533658 ,-1.175214052,0.679080606 ,-1.204121947,0.666255355 ,-1.213564515,0.539869905 ,-1.142785788,0.528906882 ,-1.183672190,0.444871992 ,-0.901197135,0.311508268 ,-0.950258851,0.925329745 ,-0.475370377,0.726323545 ,-0.611305118,1.037651181 ,-1.019869328,0.898467064 ,-1.028484941,0.029813746 ,0.039149188 ,-0.029813463,-0.039149474,0.905639648 ,-0.357809991,0.684125006 ,-0.287275612,0.473285764 ,0.375670642 ,0.405859739 ,0.086313985 
0.783977866 ,-1.126138330,0.761326134 ,-1.148743510,0.752768338 ,-1.163830996,0.627340555 ,-1.081927180,0.619774938 ,-1.146082044,0.537326753 ,-0.811380804,0.377170295 ,-0.967297256,0.975357890 ,-0.405640811,0.680129528 ,-0.678360164,1.085649848 ,-0.974937260,0.952023447 ,-0.986369312,0.019644236 ,0.071727984 ,-0.019644236,-0.071727686,0.946360886 ,-0.288363904,0.823507965 ,-0.347241640,0.474452525 ,0.474893928 ,0.421505034 ,0.179000095 
0.747885466 ,-1.132371545,0.730782032 ,-1.172772527,0.722202659 ,-1.181315899,0.596820593 ,-1.128341317,0.582320333 ,-1.145909309,0.463844359 ,-0.916637957,0.314164698 ,-0.925833523,0.934229493 ,-0.432615966,0.647533119 ,-0.437895238,1.040917993 ,-1.012176633,0.893846810 ,-0.993696153,0.028811535 ,0.014037640 ,-0.028811535,-0.014037640,0.911446393 ,-0.330955565,0.713729382 ,-0.347020477,0.427585036 ,0.418791711 ,0.391000926 ,0.130926177 
0.822159588 ,-1.128296256,0.807175457 ,-1.158620000,0.774091005 ,-1.151500702,0.668388307 ,-1.112238884,0.652151883 ,-1.133800030,0.530922353 ,-0.880531013,0.389729112 ,-0.894969165,0.964928448 ,-0.384752482,0.841446400 ,-0.397706985,1.048607469 ,-0.953433335,0.921504319 ,-0.940255344,0.035469878 ,0.017651072 ,-0.035470173,-0.017651366,0.955350757 ,-0.261621267,0.825258672 ,-0.231850088,0.453726292 ,0.467826933 ,0.424710810 ,0.191861242 
0.820044756 ,-1.118796825,0.805077314 ,-1.155486465,0.777700841 ,-1.145014405,0.677450418 ,-1.095972896,0.656880140 ,-1.114904404,0.543553591 ,-0.877955198,0.397756070 ,-0.886679351,0.965414584 ,-0.378758878,0.828395784 ,-0.385543525,1.049685121 ,-0.938136220,0.922451437 ,-0.932043254,0.031983014 ,0.022589387 ,-0.031983305,-0.022589099,0.947344542 ,-0.203619614,0.816540241 ,-0.188601315,0.463210374 ,0.467386603 ,0.418392956 ,0.188400224 
0.818538249 ,-1.074504614,0.805571437 ,-1.106248856,0.796339273 ,-1.116388440,0.710182965 ,-1.076959014,0.679993868 ,-1.094116330,0.552400947 ,-0.886885166,0.399928212 ,-0.871827364,0.947281897 ,-0.337669700,0.840413630 ,-0.343699694,1.045684695 ,-0.906726241,0.944361985 ,-0.935323119,0.027830565 ,0.021521434 ,-0.027830847,-0.021521434,0.933970690 ,-0.217979744,0.777817845 ,-0.183312416,0.471112162 ,0.448058367 ,0.423636585 ,0.141212940 
0.800784945 ,-1.070032835,0.803665221 ,-1.119839907,0.793762267 ,-1.126611471,0.682652533 ,-1.073136568,0.659638822 ,-1.088130474,0.543099582 ,-0.896127641,0.386212349 ,-0.874854684,0.940090835 ,-0.336939871,0.807618558 ,-0.382601559,1.041231513 ,-0.914409578,0.931447446 ,-0.938999653,0.029413717 ,0.026610183 ,-0.029413717,-0.026610183,0.906187356 ,-0.162736192,0.735107660 ,-0.171089515,0.519666910 ,0.467854589 ,0.393305629 ,0.367311954 
0.835463107 ,-1.075611353,0.820283294 ,-1.111399770,0.817317486 ,-1.131658435,0.701322734 ,-1.069790602,0.681991756 ,-1.104754567,0.594154835 ,-0.837600231,0.413860649 ,-0.889798224,0.971561313 ,-0.381731033,0.768725455 ,-0.446440995,1.055506945 ,-0.925647140,0.937979758 ,-0.958794236,0.029390397 ,0.044265747 ,-0.029390685,-0.044265747,0.945033133 ,-0.205440611,0.808358431 ,-0.200590357,0.535483718 ,0.500840068 ,0.400412619 ,0.398672730 
0.847078621 ,-1.051774979,0.823089182 ,-1.094358683,0.800483882 ,-1.097060084,0.699453652 ,-1.072485805,0.676952660 ,-1.089179277,0.549237549 ,-0.903160810,0.390613407 ,-0.862251520,0.973221600 ,-0.299791932,0.824968159 ,-0.365468472,1.067295432 ,-0.939731717,0.953980446 ,-0.936416030,0.030391842 ,0.031326838 ,-0.030391842,-0.031327128,0.916402161 ,-0.130940497,0.716687202 ,-0.141686141,0.481090367 ,0.507322371 ,0.394542277 ,0.429319084 
