nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   ,label
-1.193312168,-0.113209382,-1.254631639,-0.05337435,-1.258638501,-0.094613276,-1.269508004,0.158635512,-1.268761516,0.061754551,-0.977085829,0.295715123,-0.994129419,0.042382784,-0.58542788,0.053607337,-0.602567017,-0.069378853,-0.834774792,-0.299173325,-0.779161751,-0.341897398,0.019495375,0.094572164,-0.019495375,-0.094572164,0.528460145,0.112906814,0.452759236,-0.047453444,1.118058681,0.120200083,0.944459975,-0.011925627,Berdiri
-1.214196205,-0.103949606,-1.275851011,-0.043061234,-1.273729086,-0.099624328,-1.292001724,0.178749159,-1.287494779,0.037735123,-0.969655633,0.319966465,-0.997690439,0.039963651,-0.580115557,0.047384318,-0.592862904,-0.067975059,-0.810205281,-0.293386608,-0.799706995,-0.340901881,0.020289091,0.102996163,-0.020288818,-0.102996439,0.585322738,0.132980749,0.506645322,-0.039575428,1.181369781,0.1375622,1.006675482,-0.001095908,Berdiri
-1.188169479,-0.102491178,-1.252090454,-0.044445258,-1.260925531,-0.081974395,-1.266859651,0.163933769,-1.274223566,0.087849915,-0.966329873,0.312314659,-1.002674103,0.038431924,-0.583479166,0.029469302,-0.649469674,-0.156201631,-0.769804597,-0.270106554,-0.75150907,-0.305167973,0.01710535,0.106046125,-0.01710535,-0.106046125,0.518630326,0.125243306,0.437126637,-0.042607814,1.080871344,0.118794248,0.907721281,-0.003826432,Berdiri
-1.193043351,-0.106199294,-1.257808089,-0.047678679,-1.267033577,-0.084956624,-1.271533489,0.162291497,-1.279305935,0.087045677,-0.954798222,0.303366631,-1.014139533,0.047751606,-0.582122982,-0.001218637,-0.654666662,-0.144632071,-0.756401598,-0.275441378,-0.745209217,-0.305627584,0.017670626,0.100321241,-0.017670626,-0.100321241,0.527324677,0.125345364,0.443103313,-0.04114534,1.083243251,0.129343495,0.915731549,-0.002535463,Berdiri
-1.224772692,-0.117737047,-1.287667155,-0.052792456,-1.29748404,-0.103411205,-1.299433112,0.163587421,-1.30617249,0.061140936,-0.948240817,0.278012335,-1.020155311,0.076129042,-0.621045768,0.001298946,-0.682632685,-0.153535753,-0.76131165,-0.293648154,-0.765520632,-0.308398187,0.019381572,0.098545343,-0.019381303,-0.098545074,0.550415754,0.121136978,0.454828113,-0.047760155,1.122347713,0.126804084,0.945472181,-0.008782359,Berdiri
-1.243910432,-0.125389174,-1.307885647,-0.063771993,-1.310281873,-0.127831817,-1.313504696,0.155659884,-1.312738776,0.020927062,-0.949081898,0.2726987,-1.027562976,0.032055207,-0.604339063,-0.036527853,-0.691443384,-0.158094838,-0.725826561,-0.282116562,-0.767466664,-0.294532418,0.017715741,0.105342403,-0.017715741,-0.105342403,0.561943054,0.116676457,0.471899331,-0.054815426,1.14872086,0.120903328,0.968845367,-0.016031591,Berdiri
-1.258892179,-0.124775417,-1.321145654,-0.063783273,-1.323503256,-0.128926694,-1.326853752,0.158174962,-1.32466948,0.019902512,-0.94589442,0.284011692,-1.029963374,0.025803683,-0.557851911,0.023713686,-0.66250509,-0.10906294,-0.693811059,-0.240094692,-0.709394157,-0.282492638,0.014085812,0.112208664,-0.01408609,-0.112208389,0.584147632,0.120401114,0.497350961,-0.05472745,1.175072908,0.126520008,0.993888974,-0.013310809,Berdiri
-1.260409951,-0.127318099,-1.322881579,-0.06755428,-1.325642943,-0.134482935,-1.326949954,0.151094422,-1.322870731,0.013954802,-0.952486396,0.312647283,-1.021105886,0.011286539,-0.555980384,0.020088527,-0.667841434,-0.142241389,-0.706856072,-0.201275051,-0.71978277,-0.268233508,0.009948407,0.111358441,-0.009948407,-0.111358441,0.559145153,0.125474885,0.482364923,-0.045939215,1.150786757,0.127903715,0.974629402,-0.009821517,Berdiri
-1.268358827,-0.133562714,-1.333672285,-0.073815309,-1.335225224,-0.142812297,-1.338364959,0.148978487,-1.336783409,0.016476788,-0.948839307,0.266382724,-1.027767658,0.038617056,-0.508156776,-0.002957631,-0.618553042,-0.128159985,-0.699174345,-0.232892752,-0.707045317,-0.258571118,0.012234437,0.10457024,-0.012234157,-0.104570515,0.593248248,0.120578833,0.504360437,-0.045479368,1.18521595,0.127868071,1.001004696,-0.015579421,Berdiri
-1.261689186,-0.131172553,-1.323910356,-0.071280263,-1.328526139,-0.138331547,-1.324730635,0.148150802,-1.328470349,0.023127392,-0.94336611,0.273934722,-1.026581645,0.071471974,-0.503687918,-0.004204429,-0.634152114,-0.135926455,-0.697075486,-0.225315675,-0.707738996,-0.257885247,0.013772938,0.099495344,-0.013773214,-0.09949562,0.579461396,0.122236274,0.486622214,-0.047034875,1.151649356,0.125658676,0.971838713,-0.012449434,Berdiri
