nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   ,label       
-1.188264012,-0.199372679,-1.276003718,-0.127414450,-1.272696495,-0.243058339,-1.316176891,0.087451316 ,-1.288192511,-0.178509668,-0.986932039,0.334162444 ,-1.012201905,-0.275318980,-0.473808050,0.577940226 ,-0.577415645,-0.487285912,-0.557178855,0.095886305 ,-0.537365973,-0.495604962,0.009357055 ,0.179503024 ,-0.009357055,-0.179503337,0.488412529 ,0.203139722 ,0.482589662 ,-0.100557052,1.015377998 ,0.216820419 ,0.915309966 ,-0.061468981,Berdiri     
-1.208881974,-0.185028732,-1.300804138,-0.109533407,-1.292248249,-0.243592650,-1.335570574,0.097252570 ,-1.305114746,-0.205672905,-0.981048346,0.330675066 ,-1.018667459,-0.296957791,-0.465856820,0.592301011 ,-0.559774041,-0.476616621,-0.522947371,0.059231121 ,-0.542285144,-0.477563828,0.008944832 ,0.180057988 ,-0.008944832,-0.180057988,0.502536654 ,0.213316932 ,0.501893461 ,-0.099337652,1.055839419 ,0.234632790 ,0.948523819 ,-0.056653157,Berdiri     
-1.208138466,-0.181696787,-1.306256771,-0.101945817,-1.294631720,-0.246424526,-1.343581676,0.104510970 ,-1.311897755,-0.236832812,-0.972132325,0.324872851 ,-1.027862191,-0.320217013,-0.484270334,0.560572207 ,-0.589690447,-0.468406707,-0.518219292,0.084541611 ,-0.553579450,-0.427152008,0.007487492 ,0.180005252 ,-0.007487166,-0.180005252,0.523606122 ,0.215454221 ,0.494952291 ,-0.092559472,1.090680718 ,0.238261595 ,0.980866730 ,-0.062959939,Berdiri     
-1.221943617,-0.192756742,-1.316831350,-0.114117317,-1.309844017,-0.253871948,-1.341193080,0.087105475 ,-1.322929740,-0.235691607,-0.965278327,0.319156021 ,-1.034717917,-0.323093146,-0.483299553,0.566672623 ,-0.590793490,-0.493191957,-0.469962090,0.066654362 ,-0.514708936,-0.432752550,0.008090430 ,0.180976719 ,-0.008090102,-0.180976391,0.533536673 ,0.211321890 ,0.507191777 ,-0.097924322,1.102417111 ,0.238292396 ,0.994164050 ,-0.070089072,Berdiri     
-1.216452956,-0.204957440,-1.305512547,-0.122651599,-1.306860924,-0.252667338,-1.329126596,0.093317591 ,-1.317937613,-0.217422292,-0.966382444,0.323532313 ,-1.033607483,-0.317195952,-0.482257068,0.531649470 ,-0.596956849,-0.471511126,-0.436415642,0.117289722 ,-0.516081452,-0.414854020,0.005247246 ,0.180566713 ,-0.005247246,-0.180567041,0.513423622 ,0.206112325 ,0.486613959 ,-0.092840888,1.058358550 ,0.234148085 ,0.953463078 ,-0.071213953,Berdiri     
-1.230776310,-0.209354699,-1.322224259,-0.126510739,-1.319177389,-0.258357942,-1.353521109,0.093250744 ,-1.336197495,-0.222517192,-0.967691779,0.322735637 ,-1.032307982,-0.323886245,-0.476440787,0.526327848 ,-0.584603131,-0.489615023,-0.433366448,0.102186166 ,-0.446430206,-0.383929640,0.004360139 ,0.184000164 ,-0.004360466,-0.184000164,0.536658764 ,0.210722089 ,0.513518810 ,-0.096534498,1.092080355 ,0.236995727 ,0.993650079 ,-0.064816818,Berdiri     
-1.242924571,-0.222116441,-1.334002733,-0.143793240,-1.328074336,-0.271297753,-1.366012096,0.077036507 ,-1.337591290,-0.236528024,-0.969489694,0.315175861 ,-1.030399919,-0.336205602,-0.471150666,0.486801624 ,-0.584214985,-0.490204006,-0.449094951,0.060770772 ,-0.489909947,-0.348173916,0.004105205 ,0.183368355 ,-0.004105205,-0.183368683,0.546779215 ,0.208641618 ,0.526586354 ,-0.111620247,1.100390792 ,0.232166871 ,1.010228395 ,-0.075923294,Berdiri     
-1.227870584,-0.226084962,-1.321918249,-0.145813242,-1.317573786,-0.270861417,-1.357882619,0.073748857 ,-1.328213692,-0.241419896,-0.972210288,0.309253275 ,-1.027640104,-0.333713233,-0.459061831,0.470693588 ,-0.567004025,-0.473740637,-0.454846740,0.058236290 ,-0.478883654,-0.339002013,0.003019558 ,0.183002084 ,-0.003019233,-0.183001757,0.542491198 ,0.208590582 ,0.525516033 ,-0.106815659,1.089696169 ,0.230767846 ,1.000080824 ,-0.074091084,Berdiri     
-1.224751949,-0.209000617,-1.320179343,-0.130564705,-1.312940717,-0.256505907,-1.359125972,0.082809769 ,-1.325517535,-0.224842176,-0.974333107,0.308153182 ,-1.025646210,-0.317215770,-0.460941941,0.475377172 ,-0.564760149,-0.495511353,-0.453090608,0.054004233 ,-0.491573334,-0.303977281,0.010231725 ,0.176869884 ,-0.010231725,-0.176869884,0.528168678 ,0.210932568 ,0.503391802 ,-0.100140497,1.078166962 ,0.234358221 ,0.981432438 ,-0.071760304,Berdiri     
-1.238797903,-0.193096414,-1.332532406,-0.113981232,-1.314287901,-0.258594245,-1.365149617,0.083860449 ,-1.325537443,-0.239750072,-0.978740394,0.298192948 ,-1.021017909,-0.329279721,-0.464768708,0.483960599 ,-0.561973214,-0.510143101,-0.473970562,0.066642478 ,-0.518924236,-0.302018791,0.008411903 ,0.193573758 ,-0.008412226,-0.193573758,0.544825137 ,0.210655168 ,0.520793319 ,-0.105709784,1.098094821 ,0.231347233 ,0.993894458 ,-0.073386759,Berdiri     
-1.227670074,-0.189609647,-1.330611348,-0.107271068,-1.313892126,-0.247333065,-1.357212186,0.088103540 ,-1.325542450,-0.216322109,-0.975929201,0.306471676 ,-1.024018884,-0.320900917,-0.458917230,0.482221663 ,-0.550223768,-0.494694173,-0.499486923,0.010839489 ,-0.515055418,-0.270721823,0.007002907 ,0.192594543 ,-0.007003228,-0.192594856,0.550326228 ,0.213963866 ,0.521165431 ,-0.099872291,1.096940517 ,0.231651127 ,0.999128997 ,-0.067557685,Berdiri     
-1.210650802,-0.162393808,-1.308238506,-0.083828755,-1.291625381,-0.223726347,-1.338922977,0.102424830 ,-1.307790041,-0.193752542,-0.977801919,0.315209448 ,-1.022164702,-0.303654492,-0.466849834,0.491602957 ,-0.556477666,-0.470934868,-0.473373055,0.116541624 ,-0.523862898,-0.265128464,0.004058033 ,0.177828655 ,-0.004058347,-0.177828655,0.538917601 ,0.218289062 ,0.508854330 ,-0.084406950,1.065797329 ,0.233532742 ,0.972096264 ,-0.047866765,Berdiri     
-1.209346652,-0.156697288,-1.318045855,-0.075751536,-1.307575822,-0.209875718,-1.341419697,0.105973609 ,-1.311092496,-0.199324057,-0.979103446,0.316067457 ,-1.020864606,-0.304755807,-0.469597846,0.484342664 ,-0.560026526,-0.483176857,-0.493838519,0.088858306 ,-0.534736812,-0.256799221,0.003407781 ,0.179343641 ,-0.003408096,-0.179343328,0.543926299 ,0.213897496 ,0.525706112 ,-0.089241862,1.070135832 ,0.230739102 ,0.972023070 ,-0.053096030,Berdiri     
-1.214128017,-0.162407845,-1.322738290,-0.080051683,-1.313378930,-0.213947207,-1.343843222,0.105673715 ,-1.315544367,-0.199141309,-0.976377130,0.316731572 ,-1.023576975,-0.303147674,-0.463892967,0.490530878 ,-0.553188622,-0.483799726,-0.499353230,0.087383434 ,-0.532794118,-0.245211557,0.001742507 ,0.181053177 ,-0.001742507,-0.181053504,0.547797441 ,0.212821975 ,0.529471874 ,-0.090395153,1.078401208 ,0.232259423 ,0.985405326 ,-0.054911844,Berdiri     
-1.219007850,-0.155928314,-1.329035521,-0.074584998,-1.318370819,-0.207677335,-1.349490762,0.110444181 ,-1.319590092,-0.194482863,-0.977824986,0.316763490 ,-1.022091269,-0.298484534,-0.469227344,0.505756617 ,-0.559388280,-0.477251858,-0.474626660,0.124170922 ,-0.523210943,-0.243010625,0.002600821 ,0.180605248 ,-0.002600821,-0.180604920,0.543267012 ,0.219577774 ,0.526917517 ,-0.084927805,1.074954510 ,0.236465603 ,0.982841492 ,-0.047604263,Berdiri     
-1.220488787,-0.171706960,-1.329679966,-0.090278134,-1.319904566,-0.219407737,-1.350832224,0.100701131 ,-1.322487116,-0.200095773,-0.971717954,0.309612572 ,-1.028280616,-0.307448477,-0.467121482,0.496222079 ,-0.562687576,-0.479376465,-0.489490539,0.118669808 ,-0.530986369,-0.258626074,0.007852866 ,0.191472724 ,-0.007852866,-0.191472724,0.533921957 ,0.209583253 ,0.517474234 ,-0.095438063,1.066690683 ,0.225023687 ,0.976047575 ,-0.058896180,Berdiri     
-1.221061945,-0.172733456,-1.329800010,-0.092282623,-1.320187688,-0.220191494,-1.351345897,0.101402789 ,-1.320740342,-0.197759494,-0.968552530,0.314530224 ,-1.031412363,-0.302653491,-0.459328562,0.497404754 ,-0.557748854,-0.472860098,-0.521166980,0.032242294 ,-0.517785430,-0.251960039,0.007896857 ,0.190933123 ,-0.007896539,-0.190933123,0.524462759 ,0.213780403 ,0.519244492 ,-0.094649799,1.055658460 ,0.227878317 ,0.973928452 ,-0.056445066,Berdiri     
-1.218031049,-0.176189780,-1.329084873,-0.096774824,-1.317035556,-0.224913210,-1.354053140,0.095633782 ,-1.319593430,-0.200676993,-0.966827214,0.308669239 ,-1.033159137,-0.301309317,-0.451992214,0.493656039 ,-0.557774425,-0.468320340,-0.510653853,0.068953976 ,-0.516753793,-0.240247399,0.007686127 ,0.190353721 ,-0.007686127,-0.190353721,0.529695749 ,0.207584769 ,0.528330386 ,-0.100199834,1.051766038 ,0.222238958 ,0.977795720 ,-0.058532350,Berdiri     
-1.225167990,-0.173394024,-1.336053371,-0.093953446,-1.323047400,-0.221918747,-1.359676003,0.097055830 ,-1.326230526,-0.201285154,-0.967571616,0.309816331 ,-1.032421350,-0.304503739,-0.458288193,0.494959623 ,-0.552207768,-0.460607380,-0.474238455,0.115072183 ,-0.514403343,-0.235972017,0.006851015 ,0.190894857 ,-0.006850695,-0.190894857,0.539719403 ,0.207341954 ,0.534095347 ,-0.101177111,1.064631343 ,0.223334908 ,0.990546286 ,-0.057003472,Berdiri     
-1.227504134,-0.168494210,-1.337029457,-0.089821972,-1.321686864,-0.217230812,-1.361868143,0.099421702 ,-1.325600743,-0.200806990,-0.968689382,0.313451439 ,-1.031296015,-0.305754334,-0.460734308,0.491802692 ,-0.544559836,-0.443043143,-0.483848572,0.111140952 ,-0.513485193,-0.238750950,0.006961409 ,0.191866919 ,-0.006961409,-0.191866919,0.547884405 ,0.209354341 ,0.538436472 ,-0.101516195,1.076292157 ,0.225822762 ,1.000982761 ,-0.057548653,Berdiri     
-1.235074639,-0.168643713,-1.343418479,-0.090808503,-1.329045534,-0.214744076,-1.370488048,0.101590626 ,-1.333187938,-0.204928130,-0.971118450,0.318327039 ,-1.028842807,-0.305894703,-0.463391542,0.498810977 ,-0.546622336,-0.443643421,-0.486958057,0.117336303 ,-0.511361957,-0.238594353,0.005997529 ,0.193957269 ,-0.005997529,-0.193956956,0.576720178 ,0.214520469 ,0.561114669 ,-0.098719805,1.114644408 ,0.236129045 ,1.032768130 ,-0.054213766,Berdiri     
-1.251464128,-0.175078854,-1.348933458,-0.099566869,-1.327410579,-0.242207825,-1.378159165,0.097955652 ,-1.338257194,-0.218148336,-0.975713491,0.320686519 ,-1.024247408,-0.308176756,-0.466908813,0.502063572 ,-0.547829330,-0.452214062,-0.489160180,0.109246694 ,-0.537999094,-0.226141468,0.006233949 ,0.197735742 ,-0.006233949,-0.197735742,0.583808541 ,0.219336390 ,0.564088643 ,-0.098762743,1.122551084 ,0.239710093 ,1.037771583 ,-0.059755083,Berdiri     
-1.246882915,-0.177167788,-1.344606876,-0.098752126,-1.326718569,-0.243757531,-1.377295971,0.102299400 ,-1.341637373,-0.221920475,-0.973931491,0.326064199 ,-1.026003122,-0.309870869,-0.460779279,0.505474389 ,-0.543960273,-0.452113450,-0.481480360,0.112872891 ,-0.515306234,-0.245426998,0.005911465 ,0.197901040 ,-0.005911797,-0.197901040,0.594100952 ,0.226276606 ,0.567876220 ,-0.096263520,1.147461891 ,0.243740276 ,1.052732110 ,-0.061119866,Berdiri     
-1.245973468,-0.201104566,-1.334037662,-0.127201691,-1.327177286,-0.250796050,-1.377218843,0.093050562 ,-1.350646377,-0.213588744,-0.973981559,0.323172331 ,-1.025975466,-0.310074985,-0.456926823,0.530725598 ,-0.559623301,-0.455865562,-0.469667703,0.115870573 ,-0.518317163,-0.250258446,0.005052405 ,0.199314147 ,-0.005052074,-0.199314147,0.572403967 ,0.226845846 ,0.551602066 ,-0.102142505,1.127491474 ,0.253503889 ,1.032878160 ,-0.060308699,Berdiri     
-1.241239905,-0.206689730,-1.330506682,-0.133122683,-1.323902607,-0.253188938,-1.370735526,0.089486159 ,-1.345210671,-0.215217218,-0.972275794,0.320871592 ,-1.027694941,-0.310000479,-0.459865928,0.498314828 ,-0.562543631,-0.459043086,-0.485714227,0.065759040 ,-0.516020894,-0.261954606,0.004520634 ,0.200601920 ,-0.004520303,-0.200601593,0.577643692 ,0.222612143 ,0.558193445 ,-0.100848526,1.130676866 ,0.247540727 ,1.038292170 ,-0.068061925,Berdiri     
-1.251769066,-0.204233110,-1.338443756,-0.129796118,-1.332434654,-0.259684831,-1.371950388,0.088479884 ,-1.348722339,-0.228409663,-0.975047827,0.312916577 ,-1.024952173,-0.313430160,-0.459306955,0.495156854 ,-0.562071085,-0.468440354,-0.500130415,0.014998227 ,-0.510548413,-0.258966655,0.004304041 ,0.201508656 ,-0.004304041,-0.201508328,0.574646592 ,0.224583626 ,0.560567141 ,-0.101413473,1.146025300 ,0.249761477 ,1.046211243 ,-0.066611156,Berdiri     
-1.240107894,-0.195060477,-1.333008528,-0.123356119,-1.322362185,-0.263889939,-1.370306253,0.081298068 ,-1.334923267,-0.238881290,-0.974431753,0.304623932 ,-1.025539041,-0.315449119,-0.459770799,0.486366153 ,-0.563525081,-0.473723799,-0.479109943,0.056927819 ,-0.508884370,-0.272475302,0.006699627 ,0.198291436 ,-0.006699957,-0.198291764,0.548155129 ,0.211681768 ,0.547193408 ,-0.111016110,1.110780358 ,0.240164354 ,1.020744085 ,-0.072163232,Berdiri     
-1.229630470,-0.175455689,-1.324058771,-0.105806075,-1.308444142,-0.247577101,-1.364980340,0.092941552 ,-1.321681857,-0.228619158,-0.978819549,0.315954477 ,-1.021149039,-0.304761261,-0.465701073,0.494681776 ,-0.565853238,-0.454820871,-0.489853740,0.074947134 ,-0.512966275,-0.256216645,0.012336113 ,0.179276347 ,-0.012336441,-0.179276347,0.539793372 ,0.219797924 ,0.526278019 ,-0.097171128,1.090963960 ,0.245239854 ,0.998396575 ,-0.062445685,Berdiri     
-1.216852069,-0.172732532,-1.313941240,-0.103191964,-1.298744202,-0.235547051,-1.359358907,0.091533817 ,-1.314149499,-0.231895313,-0.978707492,0.311122805 ,-1.021292210,-0.310414374,-0.470601887,0.493566394 ,-0.561397731,-0.454172760,-0.469729662,0.103752464 ,-0.516266465,-0.269184440,0.011640551 ,0.176382318 ,-0.011640551,-0.176382318,0.532807827 ,0.211891845 ,0.515886784 ,-0.100050859,1.083468676 ,0.238077790 ,0.990117788 ,-0.068190470,Berdiri     
-1.227580428,-0.173219204,-1.320981741,-0.101046056,-1.308876395,-0.237107933,-1.363013983,0.096615709 ,-1.324570894,-0.234364420,-0.979662895,0.315781236 ,-1.020335913,-0.313649148,-0.464487821,0.502930164 ,-0.555897355,-0.456717223,-0.492188871,0.080703415 ,-0.506494462,-0.267254949,0.010921218 ,0.179632097 ,-0.010921218,-0.179632097,0.539388657 ,0.213751823 ,0.518889070 ,-0.099145442,1.113908768 ,0.242799178 ,1.017530322 ,-0.070412651,Berdiri     
-1.235445976,-0.178318173,-1.323079824,-0.103241801,-1.316510558,-0.240741313,-1.356270552,0.098031066 ,-1.331490159,-0.240500987,-0.978371441,0.314385355 ,-1.021627903,-0.315866858,-0.461109847,0.501294434 ,-0.552397788,-0.461461037,-0.497740746,0.075133868 ,-0.503326774,-0.272939771,0.009742376 ,0.180329859 ,-0.009742709,-0.180329859,0.554495454 ,0.213073149 ,0.527545929 ,-0.100005202,1.125224352 ,0.234726831 ,1.030120492 ,-0.070124902,Berdiri     
-1.247206330,-0.182119817,-1.333507776,-0.105430186,-1.325870752,-0.245139569,-1.365398884,0.098289147 ,-1.340551496,-0.245010883,-0.979652405,0.319615304 ,-1.020345569,-0.322561026,-0.463911772,0.505720735 ,-0.554246426,-0.468562692,-0.511026204,0.079329930 ,-0.507486284,-0.277782768,0.009505816 ,0.182062030 ,-0.009505816,-0.182062030,0.566115975 ,0.213593408 ,0.541681647 ,-0.102167614,1.146142840 ,0.235701635 ,1.052161217 ,-0.075134955,Berdiri     
