nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-1.212684393,-0.210246176,-1.293134689,-0.178262636,-1.295622349,-0.182283133,-1.295940518,0.032283522 ,-1.321309447,0.002861447 ,-0.878412962,0.218977064 ,-1.092257261,0.122282334 ,-0.374117643,-0.087713636,-0.751209140,-0.164152399,-0.788908184,-0.359741420,-0.889527380,-0.310913891,0.035198510 ,0.029943086 ,-0.035198510,-0.029943429,0.533031285 ,-0.023108494,0.324683458 ,-0.124668412,1.029877663 ,0.023672065 ,0.785909832 ,-0.029105280
-1.202812672,-0.201769859,-1.278101683,-0.169700876,-1.281020403,-0.177220076,-1.286103845,0.036118697 ,-1.309422255,0.013140638 ,-0.860592067,0.217315584 ,-1.106748700,0.142643109 ,-0.421373159,-0.097384438,-0.826103687,-0.199053004,-0.831753731,-0.345712632,-0.974202454,-0.321170002,0.037122097 ,0.019848606 ,-0.037122097,-0.019848606,0.524468482 ,-0.027818916,0.295066744 ,-0.132609442,1.015483260 ,0.020494940 ,0.769637048 ,-0.037858382
-1.203072071,-0.200107798,-1.280773282,-0.168307334,-1.284599304,-0.178324744,-1.290957808,0.038952876 ,-1.312885404,0.008146334 ,-0.874455571,0.188414961 ,-1.095082879,0.159319416 ,-0.455387324,-0.103804424,-0.794445693,-0.168090224,-0.865452051,-0.317236722,-0.962272525,-0.283666700,0.035755012 ,0.012250874 ,-0.035754677,-0.012250874,0.503768325 ,-0.024158139,0.261620879 ,-0.125636816,0.974548042 ,0.024841333 ,0.732564628 ,-0.035767090
-1.210933805,-0.198492289,-1.275421977,-0.164957643,-1.280309558,-0.180996507,-1.286230326,0.048932459 ,-1.311126232,-0.001946246,-0.875900030,0.212196052 ,-1.091296434,0.148549691 ,-0.431797951,-0.079658762,-0.717138827,-0.112228483,-0.876062453,-0.285584033,-0.937317491,-0.238956511,0.031411558 ,0.025906738 ,-0.031411558,-0.025906738,0.506924510 ,-0.015953120,0.261559546 ,-0.121840142,0.979846835 ,0.036158439 ,0.734035075 ,-0.025472341
-1.200245261,-0.212677985,-1.267384768,-0.171337664,-1.274709940,-0.188282952,-1.279859900,0.039441876 ,-1.306238413,-0.011142272,-0.886414349,0.172710955 ,-1.083951831,0.170302764 ,-0.423213661,-0.092962325,-0.651867509,-0.102230757,-0.845836997,-0.286558926,-0.887020946,-0.217764825,0.034177795 ,0.003078427 ,-0.034177795,-0.003078427,0.481444150 ,-0.026936155,0.243474081 ,-0.115877718,0.946493089 ,0.030673658 ,0.703205109 ,-0.032896075
-1.197555780,-0.235478073,-1.264434814,-0.191017300,-1.272502661,-0.213152558,-1.279185891,0.019394167 ,-1.312028170,-0.036120962,-0.879435062,0.159326568 ,-1.093798876,0.166784137 ,-0.397814035,-0.090717964,-0.672936320,-0.086332552,-0.885426402,-0.271320432,-0.967050612,-0.222324491,0.032712776 ,-0.003513111,-0.032712776,0.003513111 ,0.500978649 ,-0.036576204,0.257231146 ,-0.121519454,0.967430174 ,0.016458826 ,0.709017575 ,-0.050290287
-1.203852057,-0.255755603,-1.265729785,-0.206316441,-1.283612490,-0.230515897,-1.276114702,-0.000675014,-1.312167525,-0.053383883,-0.882978797,0.146679774 ,-1.093492150,0.159201875 ,-0.414057404,-0.097689755,-0.668864191,-0.093803473,-0.892835677,-0.250158340,-0.969284177,-0.207753330,0.029591957 ,0.001945453 ,-0.029591957,-0.001945453,0.492496878 ,-0.038107567,0.257227153 ,-0.137543961,0.958557904 ,0.013036286 ,0.708022416 ,-0.058217630
-1.203458071,-0.276373446,-1.272424698,-0.230891466,-1.284366608,-0.253005266,-1.277727008,-0.019586945,-1.315648556,-0.074482322,-0.883334875,0.129361838 ,-1.096275568,0.155493081 ,-0.410897046,-0.110944681,-0.673427880,-0.099411406,-0.909893870,-0.249532938,-0.917223096,-0.196172714,0.028463854 ,-0.017847639,-0.028464185,0.017847307 ,0.492141038 ,-0.061707582,0.265652508 ,-0.145508170,0.959996164 ,0.000529886 ,0.679339707 ,-0.068374760
-1.192057490,-0.274251848,-1.266372681,-0.227422446,-1.275685191,-0.250328064,-1.282869339,-0.009925373,-1.314078569,-0.065818012,-0.884238064,0.147240564 ,-1.091245174,0.164953277 ,-0.365367889,-0.094225265,-0.635602415,-0.063401774,-0.894914687,-0.243035376,-0.934330404,-0.209887266,0.029607652 ,-0.003906589,-0.029607316,0.003906589 ,0.507669926 ,-0.054891244,0.302660108 ,-0.114772692,0.992503703 ,0.016174370 ,0.748407185 ,-0.049249660
-1.190827847,-0.263594389,-1.261408806,-0.215051934,-1.273180604,-0.237413391,-1.272214413,0.006030439 ,-1.309229136,-0.052341301,-0.881740451,0.184462160 ,-1.090433121,0.148001626 ,-0.364499718,-0.066364229,-0.630803168,-0.064830065,-0.896349967,-0.218570188,-0.926050067,-0.192811057,0.024956480 ,0.013685897 ,-0.024956480,-0.013685564,0.506904304 ,-0.039813124,0.312523663 ,-0.107319042,0.990664840 ,0.029514547 ,0.748443842 ,-0.036087774
