nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-0.891120493,-0.994887888,-0.986625671,-0.963847816,-1.008655190,-0.984637976,-1.033777118,-0.813982964,-1.051397800,-0.837806344,-0.762121499,-0.552556753,-0.958019078,-0.467793435,0.046458885 ,-0.619420052,-0.466534108,-0.414812088,0.244093075 ,-0.948878050,-0.189527929,-0.754343152,0.143650651 ,-0.056779210,-0.143650651,0.056778751 ,0.329792589 ,-0.962020874,-0.223337308,-0.689079046,0.422762185 ,-0.012721977,0.196401253 ,-0.076910719
-0.986841619,-0.964594185,-1.079640508,-0.934880376,-1.094350100,-0.955115557,-1.071406126,-0.727726936,-1.141912103,-0.747598231,-0.808091044,-0.493080586,-0.959344566,-0.442959785,0.005286407 ,-0.487628579,-0.502129972,-0.419027209,0.197109222 ,-0.862782896,-0.177252188,-0.673969924,0.146014497 ,-0.051734190,-0.146014959,0.051734190 ,0.354190171 ,-0.963603914,-0.303594142,-0.671139479,0.401600838 ,-0.074242935,0.180571899 ,-0.527780592
-1.033895612,-0.938804150,-1.128596544,-0.902119219,-1.164274812,-0.922475517,-1.104526639,-0.713866770,-1.163665056,-0.734134316,-0.805158257,-0.471538574,-0.975337803,-0.439413190,-0.021354657,-0.481429487,-0.554497957,-0.449608743,0.180512443 ,-0.779323161,-0.233822867,-0.738934517,0.150886074 ,-0.071957402,-0.150885612,0.071957402 ,0.342542559 ,-0.981900930,-0.307042599,-0.722854078,0.429098845 ,-0.095397748,0.178247958 ,-0.564143240
-1.072506189,-0.841765404,-1.169711590,-0.804920197,-1.183406711,-0.820248723,-1.159197211,-0.631496906,-1.206112385,-0.624389648,-0.822850525,-0.388013780,-1.024654984,-0.377965122,-0.061966468,-0.382678479,-0.519497991,-0.411189169,0.168384388 ,-0.743035257,-0.223564774,-0.720908880,0.155745015 ,-0.025979528,-0.155745506,0.025979046 ,0.329488337 ,-0.928779364,-0.292832911,-0.792926669,0.546785057 ,-0.547198355,0.189239398 ,-0.565696359
-1.107216835,-0.825687885,-1.193980455,-0.771335423,-1.230852723,-0.803874791,-1.209513903,-0.554802418,-1.276730180,-0.615244150,-0.828445673,-0.336006850,-1.050513268,-0.349202454,-0.066834040,-0.345435619,-0.494668990,-0.349820673,0.178899616 ,-0.603835046,-0.167335704,-0.722298801,0.152635276 ,-0.018332193,-0.152635276,0.018331699 ,0.358878642 ,-0.967884839,-0.259984225,-0.869477808,0.379469872 ,-0.901428044,0.210638508 ,-0.614817321
-1.157385349,-0.734713614,-1.264568686,-0.686477959,-1.297878385,-0.723148048,-1.235974073,-0.456142604,-1.338840842,-0.529084206,-0.853802502,-0.227655083,-1.090327621,-0.241766170,-0.122081086,-0.283083022,-0.591358602,-0.310690671,0.145359442 ,-0.747291565,-0.203316331,-0.721048653,0.155925676 ,-0.014283502,-0.155925170,0.014282999 ,0.378113925 ,-0.964713156,-0.288598627,-0.760798931,0.375957459 ,-0.891808987,0.196735322 ,-0.591324925
-1.205783367,-0.700666785,-1.331743360,-0.633195341,-1.364243507,-0.675094068,-1.280659795,-0.368035883,-1.382762909,-0.464037985,-0.867536128,-0.184211954,-1.094810843,-0.202042267,-0.095953524,-0.217514247,-0.590994239,-0.293934554,0.168317690 ,-0.552821696,-0.245029896,-0.708605230,0.159952357 ,-0.009841767,-0.159952879,0.009842278 ,0.424024701 ,-0.961682677,-0.262157261,-0.751420259,0.500607073 ,0.083196193 ,0.273985177 ,-0.174800128
-1.279475808,-0.625276566,-1.374511242,-0.553343832,-1.413572907,-0.589281380,-1.319078684,-0.315185517,-1.383948922,-0.363891840,-0.838080823,-0.119735315,-1.137781620,-0.190047562,-0.089985818,-0.202758417,-0.628349423,-0.312285334,0.156442374 ,-0.729428887,-0.283891618,-0.711265206,0.165543512 ,-0.006653992,-0.165544018,0.006653992 ,0.431132555 ,-0.989186168,-0.135340184,-0.939501464,0.458962828 ,0.105650380 ,0.350855023 ,0.101248004 
-1.271077156,-0.599720538,-1.391463399,-0.522342682,-1.405708432,-0.562928617,-1.333947778,-0.255408943,-1.443444133,-0.351521820,-0.832571685,-0.075457908,-1.152501225,-0.168439239,-0.071388051,-0.124271274,-0.633936524,-0.304298878,0.154600590 ,-0.726986349,-0.284239173,-0.738030553,0.176737756 ,0.003243638 ,-0.176737756,-0.003244156,0.434575289 ,-1.000751734,-0.140858456,-1.007737756,0.493658274 ,0.110836387 ,0.317266136 ,0.051035650 
-1.274091601,-0.539440393,-1.368553042,-0.446816117,-1.415373921,-0.510820508,-1.323361039,-0.204592377,-1.397830367,-0.293377817,-0.844706178,-0.051012076,-1.145596743,-0.145700783,-0.087272845,-0.019778553,-0.660712183,-0.239876613,0.116878048 ,-0.467657536,-0.303416848,-0.672684669,0.176982239 ,0.011330233 ,-0.176981732,-0.011330748,0.362155586 ,-0.999342144,-0.396700919,-0.685498178,0.472826540 ,0.147420853 ,0.177384824 ,-0.629919648
