nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
0.489299536 ,-1.214846373,0.473418564 ,-1.277264714,0.466266334 ,-1.279714108,0.311905503 ,-1.296824098,0.313969761 ,-1.266634583,0.243284300 ,-1.013534069,0.089936614 ,-0.958511293,0.872131646 ,-0.807446718,0.544575751 ,-0.775688529,1.011237860 ,-1.073148966,0.834922373 ,-1.022893190,0.064861096 ,0.012098526 ,-0.064861096,-0.012098526,0.819448173 ,-0.541571975,0.550252140 ,-0.534413099,0.641333818 ,0.212574869 ,0.513827384 ,0.110585928 
0.601384521 ,-1.164836526,0.557485342 ,-1.223850250,0.562214017 ,-1.235539436,0.382636964 ,-1.221842647,0.398915946 ,-1.234483600,0.286627322 ,-0.988404036,0.143390730 ,-0.964820027,0.902233422 ,-0.830820203,0.665577471 ,-0.819538832,1.023407340 ,-1.191122413,0.859256029 ,-1.073941827,0.058424026 ,0.012901265 ,-0.058424413,-0.012901071,0.829226434 ,-0.483122170,0.581676245 ,-0.417575926,0.643931568 ,0.247932419 ,0.527133465 ,0.138715521 
0.645951748 ,-1.108754396,0.639870822 ,-1.182381034,0.609497309 ,-1.182524800,0.466177315 ,-1.190206885,0.456830084 ,-1.224278092,0.351560026 ,-0.967405736,0.233907506 ,-0.944982350,0.984921932 ,-0.844795406,0.810346961 ,-0.794385374,1.022699356 ,-1.216441035,0.873509943 ,-1.198019624,0.041561659 ,0.007020413 ,-0.041561283,-0.007020413,0.886595130 ,-0.465315789,0.687618434 ,-0.430769622,0.662150085 ,0.250443965 ,0.540587962 ,0.167722449 
0.692179441 ,-1.136660457,0.650030315 ,-1.196583867,0.659577549 ,-1.215410590,0.478011698 ,-1.191564798,0.503083646 ,-1.223228216,0.395235866 ,-0.943720043,0.305761397 ,-0.929406464,0.959563017 ,-0.837975681,0.785166085 ,-0.822585881,0.998394489 ,-1.169126391,0.870805323 ,-1.126648903,0.031324219 ,0.016141385 ,-0.031324219,-0.016141204,0.863543868 ,-0.427969903,0.694938004 ,-0.405964255,0.638639808 ,0.279864252 ,0.537740052 ,0.154923037 
0.706769943 ,-1.087900400,0.645280004 ,-1.131981492,0.646720707 ,-1.166018963,0.501323760 ,-1.149877071,0.502263427 ,-1.154851913,0.435984224 ,-0.934334576,0.318623990 ,-0.917844236,0.939991593 ,-0.826210856,0.644740224 ,-0.743455052,0.949152291 ,-1.130215168,0.831012070 ,-0.994557142,0.029950574 ,0.029441256 ,-0.029950928,-0.029441256,0.856548190 ,-0.366703600,0.698621929 ,-0.338211179,0.602431297 ,0.326327771 ,0.477554470 ,0.201949358 
0.703695118 ,-1.029946923,0.646789670 ,-1.076093197,0.612334013 ,-1.066918015,0.490879834 ,-1.103188038,0.488926709 ,-1.114707947,0.428590417 ,-0.919052064,0.330812782 ,-0.931165814,0.892983437 ,-0.798833966,0.629121304 ,-0.701140761,0.915629089 ,-0.992165387,0.769147038 ,-0.946364760,0.031031301 ,0.023686748 ,-0.031031642,-0.023686748,0.835407376 ,-0.356039703,0.672112823 ,-0.317188084,0.577997208 ,0.335052609 ,0.457153350 ,0.208736226 
0.738582850 ,-0.952075303,0.707377613 ,-0.992161453,0.680260897 ,-1.000781655,0.580872536 ,-1.024866819,0.561530173 ,-1.056570888,0.485996038 ,-0.881953955,0.366896421 ,-0.927071512,0.890117049 ,-0.739167154,0.479097068 ,-0.820318699,0.891134858 ,-0.855119050,0.765787423 ,-0.849923491,0.037767723 ,0.029787319 ,-0.037767723,-0.029787319,0.812734127 ,-0.301544130,0.655761659 ,-0.246629864,0.567466199 ,0.328396231 ,0.443077207 ,0.217357948 
0.810794294 ,-0.889142811,0.773147166 ,-0.925293624,0.754714191 ,-0.935843885,0.645363986 ,-0.984919071,0.629704595 ,-1.005269527,0.500980914 ,-0.898658395,0.378273755 ,-0.897702217,0.841406941 ,-0.728447974,0.430053890 ,-0.793729424,0.885589838 ,-0.826220274,0.767678440 ,-0.834191024,0.032109480 ,0.017616909 ,-0.032109156,-0.017616747,0.829582572 ,-0.278849274,0.655417800 ,-0.223325789,0.578497946 ,0.353882134 ,0.446071565 ,0.278301924 
0.835077643 ,-0.835513353,0.812341094 ,-0.884656250,0.784818769 ,-0.889954925,0.688913286 ,-0.954231381,0.665284157 ,-1.001040459,0.515773118 ,-0.885033250,0.400304645 ,-0.892831206,0.887030363 ,-0.741323650,0.461919248 ,-0.800723374,0.943275630 ,-0.823864222,0.827846110 ,-0.822941661,0.027681405 ,0.015937662 ,-0.027681069,-0.015937494,0.872219265 ,-0.245703936,0.677985728 ,-0.232919678,0.584100187 ,0.389259666 ,0.455729514 ,0.280129194 
0.873315930 ,-0.796472490,0.865909934 ,-0.863262057,0.843077898 ,-0.868090093,0.734272301 ,-0.934073746,0.733684957 ,-0.986917138,0.557951450 ,-0.869285345,0.433833718 ,-0.867482483,0.862370968 ,-0.758372664,0.469747961 ,-0.787938476,0.952033162 ,-0.789354265,0.866931617 ,-0.768922508,0.020381920 ,0.011359594 ,-0.020381920,-0.011359594,0.872560740 ,-0.226859376,0.690744758 ,-0.184962273,0.597739637 ,0.395266145 ,0.472169131 ,0.302006036 
